----------------------------------------------------------------------
Marvellous Process Log
Log file create at : Wed Aug 14 12:54:28 2024
----------------------------------------------------------------------
{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM'} 
{'name': 'sqlwriter.exe', 'pid': 4692, 'username': None} 
{'name': 'RtkBtManServ.exe', 'pid': 4708, 'username': None} 
{'name': 'OneApp.IGCC.WinService.exe', 'pid': 4716, 'username': None} 
{'name': 'RstMwService.exe', 'pid': 4736, 'username': None} 
{'name': 'XtuService.exe', 'pid': 4744, 'username': None} 
{'name': 'armsvc.exe', 'pid': 4764, 'username': None} 
{'name': 'msedgewebview2.exe', 'pid': 4772, 'username': 'SATISH\\Satish'} 
{'name': 'WMIRegistrationService.exe', 'pid': 4788, 'username': None} 
{'name': 'RtkAudUService64.exe', 'pid': 4796, 'username': None} 
{'name': 'MsMpEng.exe', 'pid': 4804, 'username': None} 
{'name': 'LMS.exe', 'pid': 4932, 'username': None} 
{'name': 'chrome.exe', 'pid': 4984, 'username': 'SATISH\\Satish'} 
{'name': 'svchost.exe', 'pid': 4988, 'username': 'SATISH\\Satish'} 
{'name': 'svchost.exe', 'pid': 5068, 'username': None} 
{'name': 'svchost.exe', 'pid': 5176, 'username': None} 
{'name': 'HxTsr.exe', 'pid': 5208, 'username': 'SATISH\\Satish'} 
{'name': 'svchost.exe', 'pid': 5352, 'username': None} 
{'name': 'svchost.exe', 'pid': 5368, 'username': None} 
{'name': 'jhi_service.exe', 'pid': 5376, 'username': None} 
{'name': 'svchost.exe', 'pid': 5472, 'username': None} 
{'name': 'esif_uf.exe', 'pid': 5504, 'username': None} 
{'name': 'sqlservr.exe', 'pid': 5836, 'username': None} 
{'name': 'dllhost.exe', 'pid': 6040, 'username': 'SATISH\\Satish'} 
{'name': 'SystemSettingsAdminFlows.exe', 'pid': 6396, 'username': 'SATISH\\Satish'} 
{'name': 'svchost.exe', 'pid': 6668, 'username': None} 
{'name': 'svchost.exe', 'pid': 6952, 'username': None} 
{'name': 'AggregatorHost.exe', 'pid': 7040, 'username': None} 
{'name': 'backgroundTaskHost.exe', 'pid': 7128, 'username': 'SATISH\\Satish'} 
{'name': 'NisSrv.exe', 'pid': 7300, 'username': None} 
{'name': 'svchost.exe', 'pid': 7388, 'username': None} 
{'name': 'chrome.exe', 'pid': 7424, 'username': 'SATISH\\Satish'} 
{'name': 'RtkAudUService64.exe', 'pid': 7464, 'username': 'SATISH\\Satish'} 
{'name': 'svchost.exe', 'pid': 7472, 'username': None} 
{'name': 'HxOutlook.exe', 'pid': 7548, 'username': 'SATISH\\Satish'} 
{'name': 'Code.exe', 'pid': 7560, 'username': 'SATISH\\Satish'} 
{'name': 'svchost.exe', 'pid': 7600, 'username': None} 
{'name': 'svchost.exe', 'pid': 7668, 'username': None} 
{'name': 'svchost.exe', 'pid': 7704, 'username': None} 
{'name': 'audiodg.exe', 'pid': 7804, 'username': None} 
{'name': 'ETDCtrl.exe', 'pid': 7924, 'username': 'SATISH\\Satish'} 
{'name': 'sihost.exe', 'pid': 8004, 'username': 'SATISH\\Satish'} 
{'name': 'Code.exe', 'pid': 8040, 'username': 'SATISH\\Satish'} 
{'name': 'svchost.exe', 'pid': 8084, 'username': None} 
{'name': 'svchost.exe', 'pid': 8088, 'username': 'SATISH\\Satish'} 
{'name': 'svchost.exe', 'pid': 8124, 'username': 'SATISH\\Satish'} 
{'name': 'svchost.exe', 'pid': 8168, 'username': 'SATISH\\Satish'} 
{'name': 'svchost.exe', 'pid': 8240, 'username': None} 
{'name': 'chrome.exe', 'pid': 8412, 'username': 'SATISH\\Satish'} 
{'name': 'svchost.exe', 'pid': 8760, 'username': None} 
{'name': 'SECOCL64.exe', 'pid': 8872, 'username': 'SATISH\\Satish'} 
{'name': 'conhost.exe', 'pid': 8892, 'username': 'SATISH\\Satish'} 
{'name': 'chrome.exe', 'pid': 8924, 'username': 'SATISH\\Satish'} 
{'name': 'svchost.exe', 'pid': 9024, 'username': None} 
{'name': 'Code.exe', 'pid': 9064, 'username': 'SATISH\\Satish'} 
{'name': 'svchost.exe', 'pid': 9072, 'username': 'SATISH\\Satish'} 
{'name': 'conhost.exe', 'pid': 9144, 'username': 'SATISH\\Satish'} 
{'name': 'SearchHost.exe', 'pid': 9260, 'username': 'SATISH\\Satish'} 
{'name': 'RuntimeBroker.exe', 'pid': 9276, 'username': 'SATISH\\Satish'} 
{'name': 'StartMenuExperienceHost.exe', 'pid': 9300, 'username': 'SATISH\\Satish'} 
{'name': 'Widgets.exe', 'pid': 9368, 'username': 'SATISH\\Satish'} 
{'name': 'RuntimeBroker.exe', 'pid': 9384, 'username': 'SATISH\\Satish'} 
{'name': 'RuntimeBroker.exe', 'pid': 9444, 'username': 'SATISH\\Satish'} 
{'name': 'backgroundTaskHost.exe', 'pid': 9616, 'username': 'SATISH\\Satish'} 
{'name': 'svchost.exe', 'pid': 9632, 'username': 'SATISH\\Satish'} 
{'name': 'WidgetService.exe', 'pid': 9708, 'username': 'SATISH\\Satish'} 
{'name': 'svchost.exe', 'pid': 9732, 'username': 'SATISH\\Satish'} 
{'name': 'dllhost.exe', 'pid': 10012, 'username': 'SATISH\\Satish'} 
{'name': 'chrome.exe', 'pid': 10452, 'username': 'SATISH\\Satish'} 
{'name': 'chrome.exe', 'pid': 10796, 'username': 'SATISH\\Satish'} 
{'name': 'backgroundTaskHost.exe', 'pid': 11100, 'username': 'SATISH\\Satish'} 
{'name': 'ShellExperienceHost.exe', 'pid': 11112, 'username': 'SATISH\\Satish'} 
{'name': 'UserOOBEBroker.exe', 'pid': 11148, 'username': 'SATISH\\Satish'} 
{'name': 'ctfmon.exe', 'pid': 11208, 'username': 'SATISH\\Satish'} 
{'name': 'chrome.exe', 'pid': 11408, 'username': 'SATISH\\Satish'} 
{'name': 'RuntimeBroker.exe', 'pid': 11492, 'username': 'SATISH\\Satish'} 
{'name': 'TextInputHost.exe', 'pid': 11632, 'username': 'SATISH\\Satish'} 
{'name': 'taskhostw.exe', 'pid': 11656, 'username': 'SATISH\\Satish'} 
{'name': 'chrome.exe', 'pid': 11748, 'username': 'SATISH\\Satish'} 
{'name': 'SecurityHealthSystray.exe', 'pid': 11752, 'username': 'SATISH\\Satish'} 
{'name': 'SecurityHealthService.exe', 'pid': 11792, 'username': None} 
{'name': 'SystemSettingsBroker.exe', 'pid': 11800, 'username': 'SATISH\\Satish'} 
{'name': 'lmc.exe', 'pid': 11928, 'username': 'SATISH\\Satish'} 
{'name': 'BingSvc.exe', 'pid': 12024, 'username': 'SATISH\\Satish'} 
{'name': 'RuntimeBroker.exe', 'pid': 12192, 'username': 'SATISH\\Satish'} 
{'name': 'msedgewebview2.exe', 'pid': 12208, 'username': 'SATISH\\Satish'} 
{'name': 'smartscreen.exe', 'pid': 12264, 'username': 'SATISH\\Satish'} 
{'name': 'AdobeCollabSync.exe', 'pid': 12308, 'username': 'SATISH\\Satish'} 
{'name': 'AdobeCollabSync.exe', 'pid': 12360, 'username': 'SATISH\\Satish'} 
{'name': 'svchost.exe', 'pid': 12384, 'username': None} 
{'name': 'svchost.exe', 'pid': 12508, 'username': None} 
{'name': 'PhoneExperienceHost.exe', 'pid': 12600, 'username': 'SATISH\\Satish'} 
{'name': 'RuntimeBroker.exe', 'pid': 12612, 'username': 'SATISH\\Satish'} 
{'name': 'svchost.exe', 'pid': 12620, 'username': None} 
{'name': 'Spotify.exe', 'pid': 12624, 'username': 'SATISH\\Satish'} 
{'name': 'Spotify.exe', 'pid': 12768, 'username': 'SATISH\\Satish'} 
{'name': 'Spotify.exe', 'pid': 12908, 'username': 'SATISH\\Satish'} 
{'name': 'Spotify.exe', 'pid': 12916, 'username': 'SATISH\\Satish'} 
{'name': 'Spotify.exe', 'pid': 12992, 'username': 'SATISH\\Satish'} 
{'name': 'Spotify.exe', 'pid': 13536, 'username': 'SATISH\\Satish'} 
{'name': 'svchost.exe', 'pid': 13676, 'username': 'SATISH\\Satish'} 
{'name': 'chrome.exe', 'pid': 13844, 'username': 'SATISH\\Satish'} 
{'name': 'Code.exe', 'pid': 13884, 'username': 'SATISH\\Satish'} 
{'name': 'AcrobatNotificationClient.exe', 'pid': 13924, 'username': 'SATISH\\Satish'} 
{'name': 'RuntimeBroker.exe', 'pid': 13972, 'username': 'SATISH\\Satish'} 
{'name': 'notepad++.exe', 'pid': 14044, 'username': 'SATISH\\Satish'} 
{'name': 'jusched.exe', 'pid': 14244, 'username': 'SATISH\\Satish'} 
{'name': 'SDXHelper.exe', 'pid': 14316, 'username': 'SATISH\\Satish'} 
{'name': 'chrome.exe', 'pid': 14576, 'username': 'SATISH\\Satish'} 
{'name': 'dllhost.exe', 'pid': 14668, 'username': 'SATISH\\Satish'} 
{'name': 'chrome.exe', 'pid': 14812, 'username': 'SATISH\\Satish'} 
{'name': 'svchost.exe', 'pid': 14904, 'username': None} 
{'name': 'MoUsoCoreWorker.exe', 'pid': 14948, 'username': None} 
{'name': 'svchost.exe', 'pid': 14976, 'username': None} 
{'name': 'msedgewebview2.exe', 'pid': 15028, 'username': 'SATISH\\Satish'} 
{'name': 'msedgewebview2.exe', 'pid': 15060, 'username': 'SATISH\\Satish'} 
{'name': 'msedgewebview2.exe', 'pid': 15092, 'username': 'SATISH\\Satish'} 
{'name': 'chrome.exe', 'pid': 15100, 'username': 'SATISH\\Satish'} 
{'name': 'chrome.exe', 'pid': 15192, 'username': 'SATISH\\Satish'} 
{'name': 'chrome.exe', 'pid': 15340, 'username': 'SATISH\\Satish'} 
{'name': 'conhost.exe', 'pid': 15368, 'username': 'SATISH\\Satish'} 
{'name': 'chrome.exe', 'pid': 16040, 'username': 'SATISH\\Satish'} 
{'name': 'Code.exe', 'pid': 16224, 'username': 'SATISH\\Satish'} 
{'name': 'chrome.exe', 'pid': 16340, 'username': 'SATISH\\Satish'} 
{'name': 'ai.exe', 'pid': 16400, 'username': 'SATISH\\Satish'} 
{'name': 'dasHost.exe', 'pid': 16592, 'username': None} 
{'name': 'powershell.exe', 'pid': 16788, 'username': 'SATISH\\Satish'} 
{'name': 'chrome.exe', 'pid': 16836, 'username': 'SATISH\\Satish'} 
{'name': 'PrintDialog.exe', 'pid': 16848, 'username': 'SATISH\\Satish'} 
{'name': 'svchost.exe', 'pid': 17320, 'username': None} 
{'name': 'TKW6.exe', 'pid': 17492, 'username': 'SATISH\\Satish'} 
{'name': 'Code.exe', 'pid': 17744, 'username': 'SATISH\\Satish'} 
{'name': 'svchost.exe', 'pid': 18144, 'username': None} 
{'name': 'conhost.exe', 'pid': 18328, 'username': 'SATISH\\Satish'} 
{'name': 'SystemSettings.exe', 'pid': 18492, 'username': 'SATISH\\Satish'} 
{'name': 'chrome.exe', 'pid': 18632, 'username': 'SATISH\\Satish'} 
{'name': 'pet.exe', 'pid': 19440, 'username': 'SATISH\\Satish'} 
{'name': 'Code.exe', 'pid': 19536, 'username': 'SATISH\\Satish'} 
{'name': 'splwow64.exe', 'pid': 19812, 'username': 'SATISH\\Satish'} 
{'name': 'chrome.exe', 'pid': 19968, 'username': 'SATISH\\Satish'} 
{'name': 'chrome.exe', 'pid': 20356, 'username': 'SATISH\\Satish'} 
{'name': 'dasHost.exe', 'pid': 20652, 'username': None} 
{'name': 'python.exe', 'pid': 20852, 'username': 'SATISH\\Satish'} 
{'name': 'svchost.exe', 'pid': 21700, 'username': None} 
{'name': 'Code.exe', 'pid': 22376, 'username': 'SATISH\\Satish'} 
{'name': 'sqlservr.exe', 'pid': 22380, 'username': 'SATISH\\Satish'} 
----------------------------------------------------------------------
